"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","60","3.583","46.7","36.7","11.7","3.3",".",".","1.7",".",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","21","2.452","19.0","4.8","19.0",".","47.6",".","9.5",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","83","2.783","19.3","12.0","24.1","21.7","13.3","6.0","3.6",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","11","3.621","27.3","45.5","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","399
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","7","3.348","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Scandinavian American Folklore","440
001","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Folk Epics","460
001","24","3.646","58.3","20.8","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Mthd&Pub Presntn-Folklr","490
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","Course Total","6","3.846","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Local Culture-Upper Midwest","540
001","56","3.368","28.6","30.4","21.4","10.7","3.6",".",".","5.4",".",".",".",".",".",".",".","."
"Local Culture-Upper Midwest","541
001","36","3.391","25.0","25.0","36.1",".","2.8",".",".","11.1",".",".",".",".",".",".",".","."
"Comparative World Costume","655
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","332","3.281","34.0","23.8","19.6","8.7","7.2","1.5","1.8","3.0",".",".",".",".",".",".","0.3","."
