"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1159","3.527","58.0","16.4","14.2","3.5","4.5","0.9","0.9","1.5","",".",".","",".","",".","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","120","3.588","68.3","12.5","9.2","3.3","2.5","0.8","3.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","279","3.183","35.1","16.5","26.2","6.5","10.8","1.8","2.5","0.7","",".",".","",".","",".","",".",".",".","."
"Junior","","224","3.552","51.3","22.8","17.9","4.0","3.1","0.9",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","164","3.484","55.5","14.6","15.9","4.9","6.1","1.8",".","1.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","787","3.411","49.0","17.3","19.1","5.0","6.4","1.4","1.4","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","35","3.723","57.1","20.0","8.6",".","2.9",".",".","11.4","",".",".","",".","",".","",".",".",".","."
"Graduate","","191","3.866","77.5","13.6","2.6","0.5","0.5",".",".","4.7","",".",".","",".","",".","",".",".",".","0.5"
"Prof Yr 1","","62","3.851","82.3","12.9","4.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","40","3.863","80.0","15.0","5.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","44","3.866","79.5","15.9","4.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","146","3.859","80.8","14.4","4.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1159","3.527","58.0","16.4","14.2","3.5","4.5","0.9","0.9","1.5","",".",".","",".","",".","",".",".",".","0.1"
