"L&S","","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","","",""
"HIST SCI
456","Dept. Total","375","3.504","39.5","27.2","16.5","3.7","2.1","",".","1.1","7.5","0.3","0.5","",".","",".","1.1","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.388","37.5","27.5","25.0","5.0","2.5","",".","2.5",".",".",".","",".","",".",".",".",".","."
"Sophomore","","85","3.476","34.1","35.3","24.7","3.5","2.4","",".",".",".",".",".","",".","",".",".",".",".","."
"Junior","","58","3.500","43.1","25.9","24.1","3.4",".","",".","1.7",".",".",".","",".","",".",".","1.7",".","."
"Senior","","137","3.476","39.4","29.2","12.4","5.1","3.6","",".","1.5","7.3","0.7","0.7","",".","",".",".",".",".","."
"Undergraduates","","320","3.469","38.4","30.0","19.4","4.4","2.5","",".","1.3","3.1","0.3","0.3","",".","",".",".","0.3",".","."
"Special","","8","3.833","25.0","12.5",".",".",".","",".",".","62.5",".",".","",".","",".",".",".",".","."
"Graduate","","48","3.899","47.9","10.4",".",".",".","",".",".","27.1",".","4.2","",".","",".","8.3","2.1",".","."
"","Dept. Total","376","3.504","39.4","27.1","16.5","3.7","2.1","",".","1.1","7.4","0.3","0.8","",".","",".","1.1","0.5",".","."
