"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","922
080","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
090","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Painting","Course Total","40","3.884","82.5","12.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Research-Ceramics","924
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","944
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","944
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Research-Art Metal","Course Total","4","***","","","","","","","","","","","","","","","",""
"","996
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","996
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","996
067","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","13","3.933","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
020","9","3.820","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
031","6","3.824","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
045","9","3.720","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
067","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
076","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
080","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
090","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","141","3.949","92.9","4.3","2.1",".",".",".",".",".",".",".",".",".","0.7",".",".","."
