"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","376","2.576","16.5","6.6","22.6","13.3","30.1","7.2","3.7",".",".",".",".",".",".",".",".","."
"","002
101","340","2.549","15.9","3.8","29.1","6.5","33.2","7.9","3.5",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","716","2.563","16.2","5.3","25.7","10.1","31.6","7.5","3.6",".",".",".",".",".",".",".",".","."
"","102
001","23","3.457","39.1","17.4","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","24","3.500","54.2","16.7","25.0",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","102
003","23","3.565","39.1","34.8","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","25","3.700","68.0","12.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","26","3.308","23.1","46.2","23.1",".","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","102
006","24","3.292","29.2","33.3","16.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.475","40.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","26","3.538","53.8","23.1","19.2",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","102
009","23","3.391","21.7","34.8","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","24","3.250","16.7","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","22","3.523","36.4","40.9","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
012","27","3.685","51.9","37.0","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
013","19","3.500","36.8","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","22","3.364","31.8","18.2","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","19","3.447","36.8","31.6","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
016","25","3.500","32.0","48.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","102
017","24","3.583","37.5","45.8","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","21","3.333","28.6","23.8","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","102
019","22","3.250","27.3","13.6","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
020","26","3.038","19.2","11.5","34.6","26.9","7.7",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","465","3.435","36.3","29.7","24.9","5.4","3.0",".","0.6",".",".",".",".",".",".",".",".","."
"","151
001","150","3.027","23.3","12.0","36.7","9.3","15.3","3.3",".",".",".",".",".",".",".",".",".","."
"","151
002","184","2.973","20.1","9.2","44.0","7.1","15.8","3.3","0.5",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","334","2.997","21.6","10.5","40.7","8.1","15.6","3.3","0.3",".",".",".",".",".",".",".",".","."
"","152
001","117","2.816","16.2","6.0","44.4","10.3","14.5","7.7","0.9",".",".",".",".",".",".",".",".","."
"","152
002","142","2.757","7.0","9.2","50.0","9.9","19.7","1.4","2.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","259","2.784","11.2","7.7","47.5","10.0","17.4","4.2","1.9",".",".",".",".",".",".",".",".","."
"Heredity","160
001","18","2.417","22.2","5.6","33.3",".","11.1","11.1","16.7",".",".",".",".",".",".",".",".","."
"Directed Study","199
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology and Society","220
001","29","3.357","37.9","24.1","24.1","3.4","3.4",".","3.4",".",".",".",".",".","3.4",".",".","."
"Introductory Ecology","260
001","45","3.307","31.1","28.9","22.2","4.4","8.9","2.2",".","2.2",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","22","3.205","27.3","27.3","22.7","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","112","2.815","23.2","11.6","29.5","5.4","17.0","9.8","2.7","0.9",".",".",".",".",".",".",".","."
"","316
001","17","3.324","23.5","23.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","316
002","16","3.375","25.0","43.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","316
003","14","3.286","21.4","35.7","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","47","3.330","23.4","34.0","31.9","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","207","3.226","33.8","13.5","33.8","6.3","10.1","1.0","1.0","0.5",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","8","3.188","12.5","12.5","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","400
002","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 320 of 406",""
