"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","19","3.526","57.9","21.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
002","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","19","3.263","21.1","42.1","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.029","23.5","29.4","29.4",".","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"","100
005","19","3.526","21.1","63.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"Intro Com: Inquiry&Expositn","Course Total","114","3.487","40.4","36.8","14.9","1.8","2.6","0.9","1.8",".",".",".",".",".",".",".",".","0.9"
"Sci&Technology Newswriting","111
001","20","3.425","30.0","45.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","23","3.870","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","299
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","11","3.364","36.4","18.2","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","17","3.059","23.5","23.5","17.6","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","17","3.676","58.8","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","16","3.656","68.8","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","18","3.750","88.9","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","51","3.696","72.5","13.7","3.9","7.8",".",".","2.0",".",".",".",".",".",".",".",".","."
"","375
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","39","3.801","74.4","15.4","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","23","3.543","26.1","60.9","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","11","3.636","63.6","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Curric in Agri-sci Educ","523
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","615
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
