"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Educ for Work","660","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","043","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","30","3.707","56.7","23.3","16.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Program Develop-Cont Educ","730","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735","001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","","Course Total","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","736","001","","21","3.800","57.1","38.1",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","736","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","","Course Total","","36","3.886","75.0","22.2",".",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Adult Learner:Implictn for C&I","746","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Issues in Educ Policy Analysis","765","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Technol in Cont & Higher Educ","814","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval:Adm Decision Making-Ed","826","001","","10","3.889","70.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Financng Elem&Secondry Educ","830","001","","17","3.844","64.7","29.4",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Theory&Practice-Ed Planning","875","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","006","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","39","3.875","79.5","7.7","7.7",".",".",".",".","5.1",".",".",".",".",".",".",".","."
"Hierarchical Linear Modeling","964","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Politics of Education","965","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","","","Page 85 of 406"
