"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","11","3.227","9.1","54.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
050","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
053","13","3.038","7.7","46.2","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"","100
054","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","10","3.100","10.0","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
056","12","3.292","8.3","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
057","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
058","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
059","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","717","3.306","18.3","44.9","24.7","7.7","3.2","0.7","0.6",".",".",".",".",".",".",".",".","."
"","105
001","19","3.417","21.1","42.1","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","105
002","17","3.294","29.4","47.1","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","105
003","16","3.400","18.8","43.8","25.0","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","105
004","20","3.025","10.0","35.0","20.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","105
005","16","3.406","31.3","31.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
006","17","3.324","5.9","64.7","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","105","3.301","19.0","43.8","22.9","5.7","5.7",".","1.0","1.9",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","15","3.500","40.0","33.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","228","3.090","8.3","33.3","38.2","12.7","5.3","0.9","0.9",".",".",".",".",".","0.4",".",".","."
"Communication & Human Behav","260
001","156","3.256","12.8","41.7","31.4","12.2","1.9",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","262
001","108","3.028","9.3","28.7","36.1","15.7","8.3","0.9","0.9",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","108","3.103","25.0","18.5","28.7","14.8","9.3","0.9","1.9",".",".",".",".",".",".","0.9",".","."
"Intro-Interpersonal Com","272
001","87","3.351","18.4","39.1","37.9","3.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","108","3.060","14.8","22.2","37.0","13.9","11.1","0.9",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","95","3.453","32.6","37.9","23.2","4.2","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","147","2.997","5.4","34.0","32.0","15.6","11.6","0.7","0.7",".",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","153","3.105","10.5","32.7","39.2","10.5","3.9","0.7","2.0","0.7",".",".",".",".",".",".",".","."
"History of World Cinema","352
001","82","3.216","17.1","30.5","35.4","9.8","6.1",".",".","1.2",".",".",".",".",".",".",".","."
"Intro to Media Production","355
001","109","3.170","11.9","40.4","33.0","6.4","6.4",".","1.8",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","22","3.250","31.8","9.1","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","76","2.974","19.7","17.1","34.2","14.5","7.9","3.9","2.6",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","73","3.153","11.0","38.4","34.2","8.2","4.1","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"Great Speakers and Speeches","370
001","175","3.063","8.0","26.9","42.3","15.4","6.3","0.6",".","0.6",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
002","72","3.183","19.4","29.2","23.6","20.8","5.6",".",".",".",".",".",".",".","1.4",".",".","."
"Miscommunication","410
001","39","3.026","7.7","33.3","17.9","38.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451
001","49","3.500","38.8","40.8","14.3","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"American Independent Cinema","462
001","21","3.405","23.8","42.9","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463
001","13","3.500","30.8","46.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 179 of 406",""
