"","990
017","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
039","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
079","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".","",".",".","100.0","",".",".",".","",".","",".",".",".","."
"R M I
241","Dept. Total","375","3.195","24.0","17.9","35.2","15.5","3.7","",".","0.5","3.2","",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","26","2.962","23.1","7.7","23.1","30.8","15.4","",".",".",".","",".",".",".","",".","",".",".",".","."
"Junior","","106","3.118","16.0","15.1","46.2","21.7","0.9","",".",".",".","",".",".",".","",".","",".",".",".","."
"Senior","","167","3.141","21.0","17.4","38.9","13.8","5.4","",".","1.2","2.4","",".",".",".","",".","",".",".",".","."
"Undergraduates","","299","3.117","19.4","15.7","40.1","18.1","4.7","",".","0.7","1.3","",".",".",".","",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","","75","3.559","42.7","25.3","16.0","5.3",".","",".",".","10.7","",".",".",".","",".","",".",".",".","."
"","Dept. Total","375","3.195","24.0","17.9","35.2","15.5","3.7","",".","0.5","3.2","",".",".",".","",".","",".",".",".","."
