"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"BIOLOGICAL SYSTEMS ENGINE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201
001","32","2.906","12.5","15.6","37.5","15.6","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Struct Design-Ag Facilities","351
001","10","2.850","20.0","30.0","20.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364
001","19","2.132","5.3",".","10.5","26.3","42.1","10.5","5.3",".",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367
001","10","3.611","50.0","10.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Career Management-Engineers","409
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","8","3.000","25.0","12.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biol Sys Engr Senior Design","509
001","13","3.192","30.8","23.1","38.5",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","900
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".",".","35.7",".",".",".","64.3",".",".",".","."
"Special Problems","999
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BSE
112","Dept. Total","153","3.040","24.8","9.8","20.9","8.5","9.2","3.9","1.3","3.9",".","11.8",".","5.9",".",".",".","."
