"","990
256","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
262","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","41","",".",".",".",".",".",".",".","92.7","",".",".",".","7.3",".",".",".","."
"Statistical Consulting","998
001","15","3.500","33.3","33.3","20.0","6.7",".",".",".",".",".","",".",".",".","6.7",".",".","."
"STAT
932","Dept. Total","1828","3.155","31.8","18.4","24.1","6.7","10.9","2.3","2.5","2.8","",".","0.1",".","0.2","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","2.711","26.3","15.8","10.5",".","36.8","5.3","5.3",".","",".",".",".",".",".",".",".","."
"Sophomore","","382","2.935","23.3","14.4","33.5","7.9","13.6","2.6","4.7",".","",".",".",".",".",".",".",".","."
"Junior","","603","3.075","29.4","19.4","23.2","7.5","14.6","2.5","2.8","0.5","",".",".",".",".",".",".","0.2","."
"Senior","","419","3.102","31.5","16.2","25.3","9.5","11.7","3.8","1.7",".","",".",".",".",".",".","0.2",".","."
"Undergraduates","","1423","3.041","28.3","17.1","26.4","8.1","13.8","3.0","3.0","0.2","",".",".",".",".",".","0.1","0.1","."
"Special","","20","3.070","25.0","20.0","25.0","5.0","15.0",".","5.0","5.0","",".",".",".",".",".",".",".","."
"Graduate","","380","3.608","44.7","23.2","15.5","1.8","0.3",".","0.5","12.4","",".","0.3",".","0.8","0.5",".",".","."
"Prof Yr 3","","5","3.921","80.0","20.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","5","3.921","80.0","20.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"","Dept. Total","1828","3.155","31.8","18.4","24.1","6.7","10.9","2.3","2.5","2.8","",".","0.1",".","0.2","0.1","0.1","0.1","."
