"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","205","2.988","16.6","12.7","41.0","17.1","9.3","2.4","0.5",".",".",".",".",".",".",".","0.5","."
"","300
002","218","2.995","13.8","17.0","41.3","16.1","10.1","0.9","0.9",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","423","2.992","15.1","14.9","41.1","16.5","9.7","1.7","0.7",".",".",".",".",".",".",".","0.2","."
"","305
001","42","3.048","31.0","16.7","19.0","7.1","23.8",".","2.4",".",".",".",".",".",".",".",".","."
"","002
305","48","3.021","22.9","14.6","27.1","10.4","22.9",".",".","2.1",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","90","3.034","26.7","15.6","23.3","8.9","23.3",".","1.1","1.1",".",".",".",".",".",".",".","."
"","320
001","65","3.323","26.2","30.8","29.2","9.2","4.6",".",".",".",".",".",".",".",".",".",".","."
"","320
002","54","3.217","14.8","33.3","33.3","13.0","3.7",".",".",".",".",".",".",".",".",".","1.9","."
"Investment Theory","Course Total","119","3.275","21.0","31.9","31.1","10.9","4.2",".",".",".",".",".",".",".",".",".","0.8","."
"","325
001","37","3.167","21.6","10.8","43.2","21.6",".",".",".","2.7",".",".",".",".",".",".",".","."
"","325
002","50","3.316","28.0","20.0","36.0","14.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"Corporation Finance","Course Total","87","3.253","25.3","16.1","39.1","17.2",".",".",".","1.1",".",".",".",".","1.1",".",".","."
"","330
001","36","2.829","2.8","16.7","52.8","5.6","16.7",".","2.8",".",".",".",".",".",".",".","2.8","."
"","330
002","53","3.098","13.2","22.6","45.3","7.5","5.7",".","1.9","1.9","1.9",".",".",".",".",".",".","."
"Derivative Securities","Course Total","89","2.988","9.0","20.2","48.3","6.7","10.1",".","2.2","1.1","1.1",".",".",".",".",".","1.1","."
"Contemporary Topics","365
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","75","3.247","25.3","21.3","40.0","5.3","2.7","1.3","1.3","1.3",".",".",".",".","1.3",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Analysis","635
001","49","3.424","32.7","14.3","46.9",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"","700
001","59","3.449","23.7","49.2","22.0","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"","700
002","61","3.425","24.6","41.0","27.9","3.3","1.6",".",".",".",".",".",".",".",".",".",".","1.6"
"","700
030","44","3.795","65.9","29.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","164","3.534","35.4","40.9","18.9","3.0","1.2",".",".",".",".",".",".",".",".",".",".","0.6"
"Market for Corporate Contrl","750
001","24","3.458","29.2","33.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","34","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","16","3.688","75.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Investment Theory","820
001","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","16","3.233","25.0","25.0","25.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835
001","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance I","850
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
141","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
152","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
233","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
