"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"United States, 1877-1914","395","001","131","3.327","29.8","38.2","17.6","4.6","3.8","3.1","1.5","1.5",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","69","3.194","17.4","23.2","43.5","2.9","1.4",".","2.9","4.3",".",".",".",".",".",".","4.3","."
"Immigratn&Assimlatn-Am Hist","403","001","71","3.390","33.8","32.4","14.1","12.7","1.4",".","1.4","4.2",".",".",".",".",".",".",".","."
"History-American Education","412","001","88","3.178","17.0","39.8","26.1","6.8","3.4","4.5","1.1","1.1",".",".",".",".",".",".",".","."
"History of Russia","417","001","66","3.327","15.2","50.0","28.8","1.5",".",".","3.0","1.5",".",".",".",".",".",".",".","."
"Soviet Union & World,1917-1991","424","001","64","3.251","14.1","40.6","29.7","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"Amer Foreign Rel, 1763-1901","433","001","77","3.488","31.2","40.3","23.4","2.6",".",".","1.3","1.3",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","23","3.185","34.8","30.4","13.0","8.7",".",".","8.7","4.3",".",".",".",".",".",".",".","."
"World Forest History","452","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The American West to 1850","461","001","49","3.512","42.9","28.6","12.2","2.0",".",".","4.1","8.2",".",".",".",".",".","2.0",".","."
"Topics in S Asian History","463","001","13","3.708","61.5","15.4","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Pop Culture in Multi-racial US","468","001","30","3.283","20.0","36.7","23.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478","001","20","3.375","45.0","25.0","10.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"American Indian History","490","001","44","3.366","18.2","31.8","20.5","9.1",".",".",".","20.5",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","002","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Cultural Hist 1815-1870","513","001","52","3.120","26.9","26.9","23.1","3.8","9.6",".","5.8","3.8",".",".",".",".",".",".",".","."
"Eur Cult Hist Since 1870","514","001","37","3.441","24.3","35.1","29.7","2.7",".",".",".","8.1",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians & Spanish Borderlands","516","001","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","40","2.705","10.0","15.0","30.0","7.5","30.0","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","22","3.250","22.7","22.7","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Print Culture","570","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","16","3.375","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","16","3.625","50.0","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","004","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","600","008","15","3.067","20.0","20.0","33.3","20.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"","600","009","16","3.156","37.5","25.0","12.5","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"","600","010","15","3.467","26.7","53.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","011","16","3.469","12.5","75.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","014","14","3.500","64.3","14.3","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","600","015","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","163","3.451","38.7","34.4","15.3","8.0","1.8","0.6","1.2",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","23","3.435","13.0","69.6","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
