"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","19","",".",".",".",".",".",".",".","94.7",".",".",".","5.3",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","4.000","64.7",".",".",".",".",".",".","29.4",".",".",".",".","5.9",".",".","."
