"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
001","","22","3.553","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","20","3.562","15.0","80.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","21","3.225","4.8","38.1","42.9","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"","228
004","","17","3.509","23.5","52.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","80","3.461","20.0","51.3","25.0","2.5",".",".",".","1.3",".",".",".",".",".",".",".","."
"","271
001","","17","3.441","11.8","70.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","23","3.587","34.8","47.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","23","3.727","43.5","52.2",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","87","3.605","34.5","51.7","11.5","1.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"Directed Study","298
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","46","3.935","91.3","6.5",".","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","311
001","","20","2.977","40.0","20.0","10.0","5.0",".","5.0","15.0","5.0",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","20","3.977","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","21","3.739","61.9","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","20","3.619","65.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"Intro-Middle Ages to Revol","Course Total","","41","3.684","63.4","22.0","4.9",".","7.3",".",".",".",".",".",".",".",".",".","2.4","."
"","322
001","","24","3.446","29.2","45.8","12.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","18","3.917","77.8","16.7",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"Intro French Lit-19 & 20 C","Course Total","","42","3.643","50.0","33.3","7.1","2.4","4.8",".",".",".",".",".",".",".",".","2.4",".","."
"","347
001","","22","3.831","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","26","3.579","42.3","38.5","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","48","3.699","54.2","33.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","449
001","","20","3.645","75.0","15.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","Course Total","","22","3.610","68.2","18.2","4.5","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","461
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","461
001","","18","3.869","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","Course Total","","19","3.815","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech d Exprssn Ecrit&Oral I","523
001","","10","3.750","50.0","20.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","9","3.731","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"French Phonetics","590
001","","23","3.682","52.2","26.1","17.4",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Le Roman Francais 1850-1900","636
001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","640
001","","20","3.719","45.0","25.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Intro aux etudes francphone","665
001","","13","3.750","46.2","23.1","7.7",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"","681
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 208 of 406",""
