"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Economics of Health Care","548
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
017","","56","4.000","3.6",".",".",".",".",".",".","96.4",".",".",".",".",".",".",".","."
"","799
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","59","4.000","8.5",".",".",".",".",".",".","91.5",".",".",".",".",".",".",".","."
"Energy Analys & Policy Smr","809
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","818
001","","38","3.257","21.1","23.7","39.5","10.5","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"","818
002","","17","3.324","17.6","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Tools-Pub Pol Analysis","Course Total","","55","3.278","20.0","27.3","40.0","9.1","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Administrative Internship","827
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","19","3.421","31.6","36.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","39","3.756","56.4","38.5","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Personnel Adm","875
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","880
001","","36","3.194","13.9","22.2","52.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","880
002","","21","3.238","42.9","4.8","33.3","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","Course Total","","57","3.211","24.6","15.8","45.6","12.3",".",".","1.8",".",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881
001","","29","3.776","58.6","37.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Welfare Policy & Mgmt","882
001","","18","3.765","55.6","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"Advanced Public Management","885
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","14","3.679","35.7","64.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
