"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","365
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","19","3.889","73.7","21.1",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","371
003","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
004","","8","3.563","75.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","","29","3.810","79.3","13.8",".","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
002","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
002","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
