"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","418","2.862","19.6","17.0","19.4","20.1","18.2","3.6","2.2",".",".",".",".",".",".",".",".","."
"","002
101","433","2.892","18.0","21.0","18.2","18.5","19.4","3.2","1.4",".",".",".",".",".",".",".",".","0.2"
"","003
101","423","2.987","14.2","25.5","31.7","13.9","10.2","2.4","2.1",".",".",".",".",".",".",".",".","."
"","101
004","209","2.923","19.1","21.5","23.0","16.7","12.4","3.3","3.3","0.5",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1483","2.915","17.5","21.2","23.1","17.4","15.4","3.1","2.1","0.1",".",".",".",".",".",".",".","0.1"
"","102
001","295","2.793","8.8","18.3","27.8","24.4","15.3","5.1","0.3",".",".",".",".",".",".",".",".","."
"","102
002","306","2.781","8.5","22.2","22.2","22.9","18.6","5.2","0.3",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","601","2.787","8.7","20.3","25.0","23.6","17.0","5.2","0.3",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","24","3.478","45.8","20.8","12.5","12.5","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Bascom Course","236
001","20","3.395","30.0","35.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"","300
001","11","2.500","9.1","18.2","18.2","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","300
002","16","2.438","6.3","6.3","31.3","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","27","2.463","7.4","11.1","25.9","22.2","18.5","7.4","7.4",".",".",".",".",".",".",".",".","."
"","301
001","113","3.301","20.4","37.2","26.5","14.2","1.8",".",".",".",".",".",".",".",".",".",".","."
"","301
002","105","3.202","17.1","37.1","31.4","6.7","2.9","1.9","1.9",".","1.0",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","218","3.253","18.8","37.2","28.9","10.6","2.3","0.9","0.9",".","0.5",".",".",".",".",".",".","."
"","302
001","111","2.941","17.1","21.6","29.7","13.5","11.7","3.6","2.7",".",".",".",".",".",".",".",".","."
"","302
002","90","3.044","21.1","20.0","27.8","17.8","10.0","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","201","2.988","18.9","20.9","28.9","15.4","10.9","3.0","2.0",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","48","2.585","4.2","4.2","39.6","18.8","27.1","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"","309
000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","309
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","2","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Intermed Econ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Stats:Measrmnt in Economics","310
001","78","2.596","9.0","21.8","15.4","30.8","9.0","6.4","7.7",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","2","***","","","","","","","","","","","","","","","",""
"Public Utilities","325
001","14","3.286","35.7","28.6","14.3",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","134","2.590","11.9","9.0","31.3","7.5","30.6","6.0","3.7",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","50","2.786","14.0","14.0","32.0","16.0","16.0","6.0","2.0",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","39","3.039","25.6","12.8","30.8","10.3","12.8","5.1",".",".",".",".",".",".",".","2.6",".","."
"Contemporary Economic Issues","390
014","36","2.764","11.1","19.4","13.9","33.3","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","43","2.965","23.3","18.6","20.9","20.9","9.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","426
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Natural Resource Economics","431
001","8","2.938","12.5","25.0","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","91","2.775","11.0","18.7","23.1","19.8","23.1","3.3","1.1",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","72","3.063","27.8","11.1","29.2","15.3","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","91","2.788","19.8","14.3","30.8","8.8","16.5","2.2","7.7",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","22","3.045","31.8","22.7","18.2","13.6","4.5",".","9.1",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473
001","14","2.692","21.4","7.1","28.6","7.1","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".","."
