"ANIMAL HEALTH & BIOMEDICAL  Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","59","",".",".",".",".",".","",".","",".","96.6","",".",".",".","3.4",".",".",".","."
"AHABS
Dept. Total
952","174","3.555","39.1","13.8","6.9","2.3","2.3","",".","",".","32.8","",".",".",".","1.1","0.6","1.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","36","3.792","69.4","25.0","2.8",".","2.8","",".","",".",".","",".",".",".",".",".",".",".","."
"Sophomore","18","3.737","50.0","33.3","11.1",".",".","",".","",".",".","",".",".",".",".","5.6",".",".","."
"Junior","13","3.140","23.1","23.1","23.1",".","15.4","",".","",".",".","",".",".",".",".",".","15.4",".","."
"Senior","20","3.325","35.0","20.0","25.0","15.0","5.0","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","87","3.468","50.6","25.3","12.6","3.4","4.6","",".","",".",".","",".",".",".",".","1.1","2.3",".","."
"Special","4","3.250","50.0","25.0",".","25.0",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Graduate","81","3.893","25.9","1.2","1.2",".",".","",".","",".","69.1","",".",".",".","2.5",".",".",".","."
"Prof Yr 2","1","",".",".",".",".",".","",".","",".","100.0","",".",".",".",".",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Professionals","2","4.000","50.0",".",".",".",".","",".","",".","50.0","",".",".",".",".",".",".",".","."
"Dept. Total","174","3.555","39.1","13.8","6.9","2.3","2.3","",".","",".","32.8","",".",".",".","1.1","0.6","1.1",".","."
