"ANIMAL HEALTH & BIOMEDICAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","55","3.755","61.8","30.9","5.5",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"371
Medical Entomology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Immunology","001","","16","3.200","37.5",".","31.3","12.5","12.5",".",".",".",".",".",".",".",".","6.3",".","."
"548
Diseases of Wildlife","001","","17","3.313","23.5","35.3","17.6","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"606
Colloquium in Env Tox","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"711
Sequence Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"712
Sequence Analysis Lab","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Topics in Immunology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract-Veterinary Sci Tchg","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 403 of 406",""
