"LATIN (CLASSICS)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"","103
001","23","3.565","52.2","21.7","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","103
002","19","3.158","42.1","10.5","31.6",".","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","103
003","25","3.500","56.0","16.0","12.0","12.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"","103
004","23","3.136","43.5","13.0","17.4","4.3","8.7",".","8.7",".","4.3",".",".",".",".",".",".","."
"","103
005","26","3.660","65.4","11.5","7.7","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","103
006","25","3.680","68.0","12.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","141","3.468","55.3","14.2","15.6","5.7","4.3","1.4","2.1","0.7","0.7",".",".",".",".",".",".","."
"","203
001","25","3.180","36.0","16.0","32.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","203
002","22","3.553","54.5","13.6","9.1",".","4.5","4.5",".","9.1",".",".",".",".",".",".","4.5","."
"Intermediate Latin","Course Total","47","3.341","44.7","14.9","21.3","2.1","4.3","4.3","2.1","4.3",".",".",".",".",".",".","2.1","."
"Latin Lit of Roman Republic","301
001","11","3.450","45.5",".","36.4","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Latin Paleography","316
001","10","3.574","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Historical Writers","539
001","15","3.633","46.7","46.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Mediaeval Latin","563
001","12","3.542","66.7","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"LATIN
524","Dept. Total","238","3.460","52.5","16.4","16.8","4.2","3.8","2.1","1.7","1.7","0.4",".",".",".",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","50","3.427","56.0","16.0","12.0","6.0","4.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Sophomore","","59","3.328","45.8","15.3","23.7","5.1","3.4",".","5.1","1.7",".",".",".",".",".",".",".","."
"Junior","","47","3.541","51.1","21.3","21.3","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Senior","","51","3.396","49.0","13.7","13.7","5.9","7.8","3.9",".","3.9","2.0",".",".",".",".",".",".","."
"Undergraduates","","207","3.418","50.2","16.4","17.9","4.8","4.3","2.4","1.9","1.4","0.5",".",".",".",".",".",".","."
"Special","","5","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","26","3.825","65.4","19.2","7.7",".",".",".",".","3.8",".",".",".",".",".",".","3.8","."
"","Dept. Total","238","3.460","52.5","16.4","16.8","4.2","3.8","2.1","1.7","1.7","0.4",".",".",".",".",".","0.4","."
