"Current Topics-Dance:Wkshp","560
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","699
011","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Project","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"DANCE
741","Dept. Total","776","3.725","64.0","18.4","6.3","2.2","0.8","0.4","0.5","7.1","",".",".","",".","",".","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.692","67.5","22.5","6.3","1.3","1.3","1.3",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","191","3.742","65.4","20.4","7.3","1.6",".","0.5","0.5","4.2","",".",".","",".","",".","",".",".",".","."
"Junior","","156","3.694","60.3","19.9","6.4","3.8","0.6",".","0.6","8.3","",".",".","",".","",".","",".",".",".","."
"Senior","","305","3.751","67.5","14.8","5.9","1.6","0.7","0.3","0.7","7.9","",".",".","",".","",".","",".","0.7",".","."
"Undergraduates","","732","3.730","65.4","18.2","6.4","2.0","0.5","0.4","0.5","6.1","",".",".","",".","",".","",".","0.3",".","."
"Special","","22","3.500","45.5","31.8","4.5","9.1","9.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","17","3.833","41.2","5.9","5.9",".",".",".",".","47.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","3","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","5","3.667","20.0","40.0",".",".",".",".",".","40.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","776","3.725","64.0","18.4","6.3","2.2","0.8","0.4","0.5","7.1","",".",".","",".","",".","",".","0.3",".","."
