"Independent Reading & Rsch","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Practices in Art Ed","900
001","","6","3.917","83.3","16.7",".",".","","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"Seminar in Art Education","951
001","","9","3.889","77.8","22.2",".",".","","",".",".","",".","",".","",".","",".",".","",".",".","",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"ART ED
176","Dept. Total","","69","3.881","78.3","17.4","2.9","",".","",".","",".","",".","",".","",".",".","",".","1.4","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","49","3.878","79.6","16.3","4.1","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","50","3.880","80.0","16.0","4.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","19","3.882","73.7","21.1",".","",".","",".","",".","",".","",".","",".",".","",".","5.3","",".",".",".","."
"","Dept. Total","","69","3.881","78.3","17.4","2.9","",".","",".","",".","",".","",".","",".",".","",".","1.4","",".",".",".","."
