"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","9","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","107","3.579","43.0","10.3","19.6","1.9","0.9","0.9","",".","23.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","11","4.000","18.2",".",".",".",".",".","",".","81.8","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","323","3.374","19.5","13.0","12.7","2.8","1.2",".","",".","50.5","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 4","284","4.000","29.6",".",".",".",".",".","",".","70.4","",".",".","",".","",".",".",".",".","."
"Professionals","725","3.535","26.9","7.3","8.6","1.5","0.7","0.1","",".","54.8","",".",".","",".","",".","0.1",".",".","."
