"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","370
001","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Mathematics","Course Total","","63","3.968","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","47","3.936","89.4","8.5","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","22","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","26","3.692","80.8","3.8","7.7","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","48","3.771","85.4","2.1","4.2","6.3",".",".","2.1",".",".",".",".",".",".",".",".","."
"","373
001","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","375
002","","18","3.700","77.8","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
095","","27","3.531","55.6","11.1","22.2","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","32","3.620","62.5","9.4","18.8","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","422
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","49","3.888","79.6","18.4","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Lit for Schools","431
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang (K-8)","442
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 82 of 405"
