"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
011","20","3.100","10.0","15.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","19","3.342","15.8","42.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","16","2.906","18.8","12.5","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","226
014","17","3.147","11.8","23.5","52.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","226
015","19","2.921","10.5","15.8","52.6","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","226
016","18","3.278","16.7","22.2","61.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","19","3.289","26.3","5.3","68.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
018","18","2.722",".","5.6","55.6","16.7","22.2",".",".",".",".",".",".",".",".",".",".","."
"","226
019","18","2.912","11.1","16.7","38.9",".","27.8",".",".","5.6",".",".",".",".",".",".",".","."
"","226
020","20","3.350","30.0","25.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","226
021","19","3.583","52.6","15.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".","5.3","."
"","226
022","20","3.175","25.0","5.0","55.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","023
226","14","2.536","14.3","14.3","21.4","21.4","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","024
226","14","2.821","7.1","7.1","64.3",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","226
025","13","3.346","30.8","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","451","3.194","22.6","20.2","41.9","6.9","6.7","0.7","0.7","0.2",".",".",".",".",".",".","0.2","."
"Latin America-Introduction","260
001","10","3.408","50.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","311
001","21","3.700","57.1","19.0","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","311
002","20","3.450","40.0","15.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","18","3.667","61.1","11.1","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","17","3.433","29.4","23.5","29.4","5.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"","311
005","18","3.222","33.3","5.6","44.4","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","311
006","20","2.925","10.0","15.0","40.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","311
007","19","3.778","68.4","10.5","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","311
008","22","3.341","27.3","31.8","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","311
009","20","3.789","60.0","30.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","175","3.474","42.9","18.3","27.4","5.1","3.4",".",".","2.9",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","24","3.438","45.8","12.5","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","320
001","22","3.548","45.5","18.2","27.3","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"","320
002","24","3.354","41.7","20.8","12.5","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.341","31.8","31.8","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","320
004","22","3.409","50.0",".","40.9",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","90","3.410","42.2","17.8","24.4","7.8","6.7",".",".",".",".",".",".",".",".","1.1",".","."
"","322
001","22","3.477","45.5","27.3","18.2","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","322
002","22","3.591","31.8","54.5","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","20","3.425","45.0","25.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","64","3.500","40.6","35.9","18.8","1.6",".","1.6","1.6",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","23","3.000","30.4","17.4","13.0","17.4","8.7","4.3","4.3",".",".",".",".",".",".","4.3",".","."
"","325
001","24","3.771","75.0","12.5","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","325
002","24","2.978","20.8","20.8","29.2",".","16.7","8.3",".","4.2",".",".",".",".",".",".",".","."
"","325
003","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","73","3.535","56.2","17.8","15.1",".","6.8","2.7",".","1.4",".",".",".",".",".",".",".","."
"","326
001","16","3.438","50.0",".","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","326
002","18","3.528","55.6","5.6","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","326
003","26","3.712","84.6","3.8","3.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 307 of 405",""
