"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"EGR","College Total","10737","3.291","35.8","20.0","19.7","7.0","5.8","1.6","0.9","7.2","0.0","0.4","0.0","1.3","0.2","0.0","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","239","2.988","32.6","19.7","23.4","5.4","8.8","4.2","5.0",".",".","0.8",".",".",".",".",".","."
"Sophomore","","992","3.087","36.7","17.7","21.9","8.2","9.7","2.7","2.1",".",".","1.0",".",".",".",".",".","."
"Junior","","2051","3.091","29.1","22.3","25.0","11.1","8.3","2.5","1.6",".",".","0.1",".",".",".","0.0",".","."
"Senior","","4728","3.276","37.0","22.5","22.9","8.3","6.4","1.8","0.6","0.3",".","0.1","0.0","0.0","0.0","0.0","0.0","."
"Undergraduates","","8010","3.200","34.8","21.8","23.3","8.9","7.4","2.1","1.1","0.2",".","0.2","0.0","0.0","0.0","0.0","0.0","."
"Special","","200","3.441","41.0","19.5","18.0","6.0","5.0","0.5",".","3.0",".","2.0",".",".","3.5","1.0","0.5","."
"Graduate","","2755","3.687","39.1","13.0","7.5","0.9","0.8","0.1","0.1","27.4","0.1","4.8",".","5.1","0.4","0.0","0.2","0.0"
"Prof Yr 3","","7","4.000","42.9",".",".",".",".",".",".","14.3",".","28.6",".","14.3",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","8","4.000","37.5",".",".",".",".",".",".","25.0",".","25.0",".","12.5",".",".",".","."
"","College Total","10973","3.291","36.0","19.5","19.2","6.8","5.7","1.6","0.9","7.1","0.0","1.4","0.0","1.3","0.2","0.1","0.1","0.0"
