"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","124","3.641","67.7","12.9","9.7","4.0","4.0","0.8","0.8",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Biometry","300","001","10","3.278","30.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Forest Operations","305","001","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol","306","001","34","3.015","17.6","20.6","32.4","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Wood Identification","312","001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood, Industrial Use,&Society","314","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335","001","27","2.815","3.7","11.1","55.6","3.7","25.9",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","13","3.115","7.7","7.7","84.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Princ-Wildlife Management","379","001","51","3.431","37.3","33.3","15.7","5.9","7.8",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Silviculture","410","001","23","3.204","17.4","30.4","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Communities and Forests","450","001","27","3.327","22.2","33.3","37.0",".",".","3.7",".","3.7",".",".",".",".",".",".",".","."
"Environmental Biogeochem","451","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"World Forest History","452","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","7","3.000","28.6",".","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"Forest Fire Behavior & Mgmt","501","001","20","3.225","25.0","30.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","6","3.000","50.0",".","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572","001","12","3.375","25.0","41.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Research Capstone","599","001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Env Tox","606","001","8","3.188","25.0","37.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Population Dynamics","655","001","23","2.909","8.7","30.4","26.1","13.0","8.7","8.7",".","4.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicm-Forestry&Wl Ecol Tchg","799","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq-Forestry&Forest Prod","901","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","961","001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","961","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Seminar","","Course Total","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 24 of 405"
