"Foundations of US Air Force II","102
001","","18","3.722","55.6","33.3","11.1",".","",".",".","","",".",".",".","",".",".","",".","",".","",".",".","."
"Evolution of US Air & Space II","202
001","","18","3.794","66.7","16.7","11.1",".","",".",".","",".","","5.6",".","",".",".","",".","",".","",".",".","."
"Leadership Studies II","304
001","","8","3.688","50.0","37.5","12.5",".","",".",".","","",".",".",".","",".",".","",".","",".","",".",".","."
"Preparation for Active Duty","402
001","","10","3.600","50.0","30.0","10.0","10.0","",".","",".","",".",".",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","54","3.685","57.4","27.8","11.1","1.9","",".","",".","",".","1.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","3.722","44.4","55.6",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","13","3.808","69.2","23.1","7.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","10","3.781","70.0","30.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","17","3.593","52.9","23.5","17.6","5.9","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","49","3.679","59.2","30.6","8.2","2.0","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.000",".",".","66.7",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","54","3.685","57.4","27.8","11.1","1.9","",".","",".","",".","1.9","",".",".","",".","",".","",".",".",".","."
