"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5336","2.946","25.6","12.3","27.3","7.6","15.5","3.9","1.9","4.5","0.0","1.0","",".","0.2","0.0",".","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","803","2.756","19.1","9.3","29.9","9.8","23.0","5.6","3.0",".",".",".","",".",".","0.1",".","0.1","."
"Sophomore","","1711","2.992","25.0","11.9","32.7","8.5","16.7","4.0","1.2",".",".",".","",".",".",".",".",".","."
"Junior","","1367","2.906","23.5","14.0","29.3","8.9","17.9","4.5","2.0",".",".",".","",".",".",".",".","0.1","."
"Senior","","836","2.977","31.9","15.9","23.9","6.8","13.2","3.7","3.6","0.2",".","0.1","",".",".",".",".","0.5","0.1"
"Undergraduates","","4717","2.918","24.8","12.8","29.7","8.5","17.5","4.4","2.1","0.0",".","0.0","",".",".","0.0",".","0.1","0.0"
"Special","","45","3.447","48.9","11.1","28.9","2.2","4.4","2.2",".","2.2",".",".","",".",".",".",".",".","."
"Graduate","","743","3.649","44.3","6.3","6.1","0.3","0.1",".",".","34.3","0.1","7.0","",".","1.3",".",".","0.1","."
"Prof Yr 3","","5","4.000","60.0",".",".",".",".",".",".","20.0",".",".","",".","20.0",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".","",".","14.3",".",".",".","."
"","Dept. Total","5512","2.946","27.7","11.9","26.4","7.3","15.0","3.8","1.8","4.7","0.0","1.0","",".","0.2","0.0",".","0.1","0.0"
