"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","17","3.676","70.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","20","3.275","35.0","15.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","17","3.618","58.8","29.4","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","127","3.323","27.6","27.6","32.3","7.1","5.5",".",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","15","3.067","26.7","20.0","33.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","13","2.885","15.4","15.4","46.2","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","001","","22","3.318","27.3","27.3","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","25","3.460","28.0","52.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","25","3.540","40.0","36.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","17","3.500","47.1","23.5","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","16","3.406","31.3","18.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","12","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","22","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"803","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"803","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","14","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","015","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","59","3.928","74.6","1.7","3.4",".",".",".",".","15.3",".",".",".","5.1",".",".",".","."
