"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","11","2.727","9.1","45.5","9.1","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","100
002","9","3.611","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.125","8.3","41.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
004","10","3.200",".","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","10","3.350","40.0","40.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
006","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","10","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","10","3.400","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","11","3.182","9.1","54.5","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","100
018","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
020","10","3.200","30.0","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
021","10","3.222","10.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0"
"","100
023","11","3.409","9.1","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","12","3.375","25.0","41.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
027","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","13","3.231","23.1","30.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","13","3.577","38.5","53.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
039","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
041","11","3.136","9.1","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","13","3.385","15.4","61.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
044","12","3.167","8.3","33.3","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
045","12","3.250","33.3","25.0","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
046","13","3.654","53.8","38.5",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
047","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","9","2.944",".","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
050","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","344","3.392","30.5","38.7","17.2","9.3","2.3","1.5","0.3",".",".",".",".",".",".",".",".","0.3"
"","105
001","14","3.250","21.4","21.4","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","3.000","6.7","20.0","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
003","18","3.235","5.6","33.3","55.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
004","13","2.962","15.4","30.8","23.1","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","105
005","16","2.625","6.3","31.3","31.3","6.3","6.3","6.3","12.5",".",".",".",".",".",".",".",".","."
"","105
006","14","3.071","7.1","28.6","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","90","3.022","10.0","27.8","41.1","10.0","5.6","2.2","2.2","1.1",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","225","3.208","14.2","42.7","24.0","11.1","6.7",".","0.9","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","219","3.190","15.5","32.4","34.7","12.8","2.7","0.5","0.9",".",".",".",".",".",".",".",".","0.5"
"Thry&Pract-Argument&Debate","262
001","143","3.331","25.9","32.2","30.8","5.6","3.5","1.4",".","0.7",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","103","3.534","44.7","32.0","18.4","2.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","99","3.495","48.5","22.2","19.2","4.0","1.0","1.0","2.0","2.0",".",".",".",".",".",".",".","."
"Directed Study","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","108","2.898","15.7","23.1","34.3","8.3","9.3","3.7","5.6",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 182 of 405",""
