"Interdivisional Topics","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Interdivisional Topics","376
010","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Humanities","506
002","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Social Science","536
002","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"STDYABRD
SAB","Dept. Total","","59","3.697","37.3","28.8","6.8","1.7","",".","",".","",".","23.7","1.7",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SAB STDYABRD","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","23","3.734","34.8","39.1",".",".","",".","",".","",".","26.1",".",".","",".","",".","",".",".",".","."
"Senior","","","34","3.685","38.2","23.5","8.8","2.9","",".","",".","",".","23.5","2.9",".","",".","",".","",".",".",".","."
"Undergraduates","","","57","3.705","36.8","29.8","5.3","1.8","",".","",".","",".","24.6","1.8",".","",".","",".","",".",".",".","."
"Special","","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","59","3.697","37.3","28.8","6.8","1.7","",".","",".","",".","23.7","1.7",".","",".","",".","",".",".",".","."
