"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","12","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","13","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","27","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","80","3.548","37.5","37.5","22.5","1.3","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","1.3"
"Prof Yr 4","128","3.742","51.6","30.5","6.3",".","",".","",".","",".","10.9","",".",".","",".","",".","",".",".",".","0.8"
"Professionals","208","3.610","46.2","33.2","12.5","0.5","",".","",".","",".","6.7","",".",".","",".","",".","",".",".",".","1.0"
