"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","102
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","","27","3.926","96.3",".",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Leadership","Course Total","","81","3.975","98.8",".",".",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 1B","111
111","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","202
001","","25","3.280","56.0","12.0","8.0","12.0","4.0",".","8.0",".",".",".",".",".",".",".",".","."
"","202
002","","28","3.679","57.1","35.7","3.6",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"","202
003","","23","3.587","56.5","21.7","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Teamwork","Course Total","","76","3.520","56.6","23.7","6.6","6.6","2.6","1.3","2.6",".",".",".",".",".",".",".",".","."
"Leadership Lab 2B","211
211","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Ethics","302
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Leadership Lab 3B","311
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Officership","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 4B","411
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491
001","","11","3.545","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","491
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"American Military History","Course Total","","12","3.583","83.3",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","251","3.763","85.3","7.2","2.4","2.0","1.2","0.4","1.2",".",".",".",".",".",".",".","0.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","86","3.697","80.2","8.1","4.7","3.5","2.3","1.2",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","74","3.695","85.1","8.1",".","2.7","1.4",".","2.7",".",".",".",".",".",".",".",".","."
"Junior","","","30","3.863","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","52","3.837","96.2",".","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Undergraduates","","","242","3.755","85.1","7.4","2.5","2.1","1.2","0.4","1.2",".",".",".",".",".",".",".",".","."
"Special","","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","251","3.763","85.3","7.2","2.4","2.0","1.2","0.4","1.2",".",".",".",".",".",".",".","0.4","."
