"","990
022","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
024","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","34","",".",".",".",".",".",".",".","88.2","",".",".",".","11.8","",".",".",".","."
"M M & I
620","Dept. Total","554","3.489","52.2","14.6","17.3","3.4","5.1","0.7","0.4","5.6","",".",".",".","0.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","15","3.512","73.3",".","6.7",".","20.0",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","108","3.538","60.2","13.0","15.7","2.8","7.4","0.9",".",".","",".",".",".",".","",".",".",".","."
"Senior","","325","3.426","47.7","18.2","23.1","4.6","4.9","0.9","0.6",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","448","3.458","51.6","16.3","20.8","4.0","6.0","0.9","0.4",".","",".",".",".",".","",".",".",".","."
"Special","","6","2.885","16.7","16.7","16.7","16.7","16.7",".",".","16.7","",".",".",".",".","",".",".",".","."
"Graduate","","85","3.842","51.8","8.2","2.4",".",".",".",".","34.1","",".",".",".","3.5","",".",".",".","."
"Prof Yr 2","","10","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".",".",".","33.3","",".",".",".","33.3","",".",".",".","."
"Prof Yr 4","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","15","4.000","86.7",".",".",".",".",".",".","6.7","",".",".",".","6.7","",".",".",".","."
"","Dept. Total","554","3.489","52.2","14.6","17.3","3.4","5.1","0.7","0.4","5.6","",".",".",".","0.7","",".",".",".","."
