"","991
091","4","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
094","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
095","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Directed Reading","Course Total","50","",".",".",".",".",".",".",".","98.0","",".",".",".","",".","2.0",".",".","."
"LAW
528","Dept. Total","3995","1.279","8.3","1.4","17.1","0.1","2.7","0.3","0.2","23.7","",".",".",".","",".","0.1",".","0.3","1.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Special","","27","2.071","11.1","11.1","22.2",".",".",".",".","25.9","",".",".",".","",".",".",".","3.7","."
"Graduate","","163","3.521","30.7","30.7","22.7","1.8",".",".",".","14.1","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","1212","1.070","6.0",".","23.9",".","4.5","0.4","0.2",".","",".",".",".","",".",".",".","0.1","."
"Prof Yr 2","","1339","1.204","7.8","0.1","13.4",".","2.1","0.3","0.4","34.5","",".",".",".","",".","0.1",".","0.5","1.9"
"Prof Yr 3","","1208","1.254","7.9","0.1","14.1","0.2","2.2","0.1",".","34.8","",".",".",".","",".","0.2",".","0.1","1.4"
"Prof Yr 4","","45","3.813","13.3",".","2.2",".",".",".",".","80.0","",".",".",".","",".","4.4",".",".","."
"Professionals","","3804","1.164","7.3","0.1","16.8","0.1","2.9","0.3","0.2","24.1","",".",".",".","",".","0.1",".","0.2","1.1"
"","Dept. Total","3995","1.279","8.3","1.4","17.1","0.1","2.7","0.3","0.2","23.7","",".",".",".","",".","0.1",".","0.3","1.1"
