"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","221","2.858","14.0","14.9","35.7","18.6","9.5","2.3","4.1","0.5",".",".",".",".",".",".","0.5","."
"","300
002","136","2.772","9.6","14.7","33.8","25.0","9.6","4.4","2.9",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","357","2.825","12.3","14.8","35.0","21.0","9.5","3.1","3.6","0.3",".",".",".",".",".",".","0.3","."
"","320
001","36","3.431","41.7","19.4","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","37","3.432","45.9","16.2","18.9","16.2","2.7",".",".",".",".",".",".",".",".",".",".","."
"","320
003","37","3.500","54.1","13.5","10.8","21.6",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","110","3.455","47.3","16.4","17.3","18.2","0.9",".",".",".",".",".",".",".",".",".",".","."
"","325
001","37","3.149","13.5","29.7","35.1","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"","325
002","26","3.269","15.4","26.9","53.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","57","3.237","26.3","21.1","36.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","120","3.217","20.0","25.0","40.0","8.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","330
001","51","3.255","31.4","31.4","15.7","11.8","5.9","2.0","2.0",".",".",".",".",".",".",".",".","."
"","330
002","53","3.264","28.3","35.8","15.1","9.4","7.5","3.8",".",".",".",".",".",".",".",".",".","."
"","330
003","54","3.241","24.1","31.5","25.9","13.0","3.7",".","1.9",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","158","3.253","27.8","32.9","19.0","11.4","5.7","1.9","1.3",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
212","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","74","3.446","32.4","33.8","27.0","4.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","51","3.314","29.4","21.6","41.2","2.0","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","29","3.534","51.7","17.2","20.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","14","3.393","42.9","7.1","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","21","3.452","28.6","38.1","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","35","3.429","34.3","25.7","31.4","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721
001","21","3.595","47.6","23.8","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","28","3.630","35.7","50.0","10.7",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727
001","26","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","22","3.500","45.5","22.7","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","24","3.682","50.0","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Financial Policy","755
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","757
001","11","3.650","36.4","45.5","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","765
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Finance PhD","972
001","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
