"LANDSCAPE ARCHITECTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","",""
"260
History of Landscape Arch","001","","57","3.183","31.6","14.0","21.1","8.8","14.0","1.8",".","8.8",".",".",".",".",".",".",".","."
"262
Landscape Invntry&Eval Meth","001","","40","3.213","35.0","22.5","27.5","5.0","2.5","2.5","5.0",".",".",".",".",".",".",".",".","."
"270
Land Arc Workshop","001","","11","3.875","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","6","3.714","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","10","3.406","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"312","001","","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"312","002","","20","3.475","45.0","35.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Graphics for Designers","Course Total","","39","3.564","46.2","35.9","15.4",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"351
Housing and Urban Design","001","","23","3.761","52.2","47.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"353
Landscape Arch Technology I","001","","21","3.619","33.3","57.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","6","2.833","16.7",".","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"361
Wetlands Ecology","001","","6","2.833","33.3",".","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"375","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"375","002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","3.942","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Open Space Planning&Design","001","","23","3.500","39.1","26.1","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","14","3.714","71.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"551
Senior Project in Land Arc","001","","23","3.045","21.7","26.1","26.1",".","17.4",".","4.3",".",".",".",".",".","4.3",".",".","."
"565
Principles-Landscape Ecology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","24","3.063","8.3","25.0","37.5","29.2",".",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems-Land Arch","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Research in Landscape Arch","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Nat Plnt Comm Restoratn&Mgt","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","4","***","","","","","","","","","","","","","","","",""
