"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Relief Printmaking","306
001","","15","3.821","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","16","3.573","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","31","3.570","32.3","48.4","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","22","3.727","68.2","9.1","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","12","3.787","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn Dsgn","346
002","","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","Course Total","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","6","3.850","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","376
001","","11","3.817","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Art Foundry","414
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Computer Imaging Techniques","428
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".",".","."
"","448
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 70 of 405"
