"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","10","3.550","30.0","60.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","11","3.364","45.5",".","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","27","3.519","44.4","25.9","18.5","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","6","2.917",".","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"104","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"104","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","16","3.625","56.3","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"144","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"144","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","103","","8","3.692","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","19","3.685","36.8","42.1","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","5.3"
"147
First Year Composition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","23","3.705","65.2","21.7","4.3",".",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"201","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","10","3.885","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","6","3.714","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","19","3.850","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","6","3.563","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","6","3.600","66.7",".",".",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"215
Elem/Intmed Bassoon","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
