"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"100","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","20","3.700","75.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"100","004","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","39","3.769","74.4","15.4","7.7",".",".","2.6",".",".",".",".",".",".",".",".",".","."
"111
Sci&Technology Newswriting","001","","19","3.474","57.9","15.8","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"212
Intro-Scientific Communication","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.800","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
Contemp Comm Tech&Soc Effct","001","","18","3.611","50.0","38.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"360
Information Radio","001","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","12","3.850","58.3","25.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"375","002","","19","3.950","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","6","3.925","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","8","3.442","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"375","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","46","3.818","71.7","15.2","6.5","2.2",".",".",".",".",".",".",".",".","4.3",".",".","."
"399","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"435
Integrated Marktng Communicatn","001","","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Native Amer Envir Iss & Media","001","","16","3.750","50.0","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"450
Visual Comp & Digital Editing","001","","17","3.735","76.5","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"515
Pub Info Campaigns & Progms","001","","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"530
Print&Electronic Media Dsgn","001","","19","3.632","57.9","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"532
Web Design for the Sciences","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Mass Media and Youth","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","9","3.929","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"699","038","","6","3.176","66.7",".",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","3.592","73.3","6.7",".",".","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"700
Colloq in Life Sci Communicatn","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
