"LINGUISTICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101","001","211","3.150","21.3","28.9","23.2","12.8","9.5","0.5","1.4","2.4",".",".",".",".",".",".",".","."
"Language, History, and Society","103","001","10","3.667","50.0","30.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","59","3.246","32.2","22.0","20.3","16.9","6.8","1.7",".",".",".",".",".",".",".",".",".","."
"Language, History, and Society","303","001","17","3.176","29.4","23.5","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"Phonology","310","001","26","3.660","57.7","15.4","19.2","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Morphology","322","001","25","3.435","48.0","16.0","12.0","8.0","4.0","4.0",".","8.0",".",".",".",".",".",".",".","."
"Syntax","330","001","25","3.292","48.0","8.0","20.0","8.0","8.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Semantics","340","001","21","3.452","61.9",".","19.0","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Field Methods I","426","001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","482","010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","482","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Phonological Theories","510","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syntactic Theories","530","001","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","978","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","979","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis","990","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","2","***","","","","","","","","","","","","","","","",""
