"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","002","","10","3.917","50.0","10.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","16","3.938","68.8","6.3",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","14","3.538","35.7","28.6","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","22","3.833","72.7","13.6","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilitating Adult Learning","742","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Economics of Education","795","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","18","3.844","66.7","16.7","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","5.6"
"Eval:Adm Decision Making-Ed","826","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Financng Elem&Secondry Educ","830","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831","001","","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835","001","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"Legal Aspects of Higher Ed","841","001","","11","3.550","36.4","27.3","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Theory&Practice-Ed Planning","875","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"Appl Rsch in Ed Admin","890","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","940","002","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","940","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","005","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","58","3.955","89.7","6.9",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Smr-Politics of Education","965","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"","990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","031","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","14","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"","990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
