"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ED POL","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","12","3.583","58.3","16.7","8.3","16.7",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","88","3.580","48.9","29.5","13.6","3.4","2.3","1.1","",".","1.1","",".",".","",".",".",".",".",".","."
"Senior","","113","3.725","61.1","23.9","10.6","1.8","0.9",".","",".","1.8","",".",".","",".",".",".",".",".","."
"Undergraduates","","215","3.651","55.3","25.6","12.6","3.3","1.4","0.5","",".","1.4","",".",".","",".",".",".",".",".","."
"Special","","4","3.750","75.0",".","25.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","123","3.808","52.0","13.0","5.7","0.8",".",".","",".","21.1","",".",".","",".","3.3","1.6","0.8","1.6","."
"","Dept. Total","342","3.697","54.4","20.8","10.2","2.3","0.9","0.3","",".","8.5","",".",".","",".","1.2","0.6","0.3","0.6","."
