"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102","002","","21","3.810","81.0","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","21","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Hebrew","","Course Total","","55","3.755","69.1","16.4","10.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","104","001","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Hebrew","202","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","","7","3.071","28.6","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","302","001","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Biblical Hebrew, II","304","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intmed Biblical Hebrew, II","324","001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","","10","3.550","60.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","13","3.625","69.2","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","7.7","."
"Jewish Lit: Greco-Roman Period","346","001","","10","2.650","20.0","30.0",".","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","371","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","371","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371","003","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","371","004","","7","2.857","14.3","14.3","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","","Course Total","","40","3.795","82.5","2.5","7.5","2.5",".","2.5",".","2.5",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","402","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","514","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","534","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic II","602","001","","8","3.313","12.5","62.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Adv Hebrew Grammar&Compstn","623","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","642","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","990","011","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","30.0",".",".",".","70.0",".",".",".","."
