"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","214","2.880","22.4","5.6","40.2","5.1","19.6","4.7","1.9","0.5",".",".",".",".",".",".",".","."
"","002
300","151","2.803","15.9","8.6","42.4","7.9","17.2","3.3","4.0",".","0.7",".",".",".",".",".",".","."
"","300
010","117","2.842","19.7","9.4","37.6","10.3","15.4","3.4","4.3",".",".",".",".",".",".",".",".","."
"","300
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","486","2.835","19.5","7.4","40.1","7.4","17.7","3.9","3.5","0.2","0.2",".",".",".",".",".",".","."
"","305
001","65","2.883","10.8","15.4","43.1","7.7","16.9","4.6",".","1.5",".",".",".",".",".",".",".","."
"","305
002","50","2.700","10.0","6.0","42.0","14.0","22.0","4.0","2.0",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","115","2.803","10.4","11.3","42.6","10.4","19.1","4.3","0.9","0.9",".",".",".",".",".",".",".","."
"","365
002","18","3.361","38.9","27.8","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","365
003","22","3.614","54.5","40.9",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","40","3.434","47.5","35.0","5.0","5.0","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"","399
088","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
096","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
146","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
159","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
228","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","16","3.882","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","36","3.614","38.9","41.7","16.7",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","34","3.500","38.2","26.5","32.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","22","3.143","18.2","45.5","18.2",".","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"","422
002","30","3.862","80.0","6.7","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","52","3.560","53.8","23.1","13.5",".","1.9","1.9","1.9","3.8",".",".",".",".",".",".",".","."
"","423
001","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","36","3.486","22.2","55.6","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","25","3.420","40.0","20.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","15","3.333","40.0","20.0","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","19","3.474","42.1","21.1","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intellectual Property Rights","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","28","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","27","3.611","37.0","48.1","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","628
001","35","3.779","54.3","42.9",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","704
001","65","3.923","90.8","3.1","6.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","60","3.933","91.7","3.3","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","59","3.610","32.2","57.6","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","184","3.826","72.3","20.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","24","3.479","29.2","41.7","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","723
030","55","3.900","81.8","16.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","79","3.772","65.8","24.1","8.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","001
727","12","3.818","66.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
