"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","272","3.050","26.5","22.4","18.0","13.6","7.4","3.3","4.0","3.7","0.4",".",".",".",".","0.4",".","0.4"
"120","002","","262","3.150","30.9","24.4","20.6","8.8","6.1","3.8","3.4","1.9",".",".",".",".",".",".",".","."
"Science of Food","Course Total","","534","3.100","28.7","23.4","19.3","11.2","6.7","3.6","3.7","2.8","0.2",".",".",".",".","0.2",".","0.2"
"201
Discovering Food Science","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299
Independent Study","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","72","3.056","27.8","22.2","15.3","16.7","12.5","4.2","1.4",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","28","3.000","10.7","21.4","25.0","28.6","7.1",".",".","3.6",".",".",".",".","3.6",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"410
Food Chemistry I","001","","37","2.986","13.5","29.7","21.6","21.6","8.1","5.4",".",".",".",".",".",".",".",".",".","."
"438
Food Service Operations Lab","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","13","3.208","7.7","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"511
Chem & Technol-Dairy Products","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","21","3.447","19.0","47.6","19.0","4.8",".",".",".","4.8",".",".",".",".",".",".",".","4.8"
"532
Food Processing II","001","","30","3.217","30.0","13.3","40.0","3.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","55","3.427","20.0","50.9","25.5","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","18","2.750","22.2","5.6","33.3",".","27.8","11.1",".",".",".",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.889","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","29","4.000","20.7",".",".",".",".",".",".","79.3",".",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","75.7",".",".",".","24.3",".",".",".","."
