"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","183","3.288","38.3","21.9","16.4","4.4","12.6","3.3",".","2.7",".",".",".",".",".","0.5",".","."
"Develp: Adolescence-Old Age","363
001","","214","3.290","29.9","22.0","29.9","15.0","0.9","0.5","0.9","0.9",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","425
001","","17","3.471","29.4","41.2","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Play-Devlpmt & Role-Lifespan","464
001","","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","","32","3.688","46.9","43.8","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","","30","3.467","46.7","20.0","16.7","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","474
002","","24","3.542","45.8","33.3","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","54","3.500","46.3","25.9","14.8","7.4","5.6",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
011","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","43","3.940","95.3","2.3",".",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","","30","3.667","56.7","30.0","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","","26","3.365","26.9","26.9","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","14","3.902","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","20","3.932","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","001
662","","24","3.646","54.2","33.3","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Human Development","727
001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","766
001","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","17","3.838","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Role-Fam-Early Child Dev","841
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 142 of 405",""
