"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","133","3.162","30.1","15.0","30.1","8.3","15.8","0.8",".",".","",".","",".",".","",".","",".","",".",".","."
"","304
001","23","3.391","26.1","26.1","47.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","304
002","24","3.583","50.0","20.8","25.0","4.2",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","304
003","24","3.521","41.7","20.8","37.5",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","304
004","23","3.413","43.5","21.7","30.4",".",".",".","4.3",".","",".","",".",".","",".","",".","",".",".","."
"","304
005","24","3.438","37.5","29.2","25.0",".","8.3",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Cellular Biology Laboratory","Course Total","118","3.470","39.8","23.7","33.1","0.8","1.7",".","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Biological Interactions","333
001","93","3.559","54.8","8.6","32.3","2.2","2.2",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"BIOCORE
206","Dept. Total","347","3.368","40.6","16.1","31.4","4.0","7.2","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","20","3.147","35.0","5.0","35.0","15.0","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","194","3.313","36.1","20.6","30.4","3.6","8.2","0.5","0.5","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","132","3.476","48.5","11.4","31.8","3.0","5.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","346","3.369","40.8","16.2","31.2","4.0","7.2","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","347","3.368","40.6","16.1","31.4","4.0","7.2","0.3","0.3","",".","",".",".","",".","",".","",".",".",".","."
