"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"243
Operatng&Mgmt Off-Road Vehicle","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"356
Sustainabl Residntl Constructn","001","","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"365
Measrmt&Instrumntn-Biol Sys","001","","14","2.286","14.3",".","28.6","14.3","14.3","21.4","7.1",".",".",".",".",".",".",".",".","."
"367
Renewable Energy Systems","001","","16","3.433","43.8","6.3","37.5",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"375","001","","26","2.885","7.7","7.7","46.2","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"375","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","29","2.920","13.8","10.3","41.4","27.6","6.9",".",".",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","14","3.286","28.6","21.4","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","9","3.222","33.3","22.2","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","12","3.125","16.7","33.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"699
Special Problems","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Graduate Research Seminar","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","26","",".",".",".",".",".",".",".","26.9",".",".",".","73.1",".",".",".","."
