"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"299","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","32","3.250","25.0","34.4","18.8","15.6","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","26","2.942","26.9","23.1","11.5","19.2","11.5",".","7.7",".",".",".",".",".",".",".",".","."
"371
Medical Entomology","001","","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"432
Tax & Bionomcs-Immature Ins","001","","13","3.875","84.6",".",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Insect Behavior","001","","14","3.250","42.9","21.4","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","3.500","58.3","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","3.957","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Smr: Evolutionary Entomol","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","27","",".",".",".",".",".",".",".","81.5",".",".",".","18.5",".",".",".","."
