"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","63","",".",".",".",".",".",".",".","98.4","",".",".",".","1.6","",".",".",".","."
"MICROBIO
192","Dept. Total","1384","3.168","36.3","14.7","23.0","8.2","11.4","1.4","0.1","4.8","",".",".",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.140","33.3","20.0","33.3",".",".","13.3",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","152","3.024","18.4","30.3","18.4","13.8","16.4","2.0","0.7",".","",".",".",".",".","",".",".",".","."
"Junior","","314","3.001","26.8","16.9","29.0","8.0","15.9","3.5",".",".","",".",".",".",".","",".",".",".","."
"Senior","","576","3.229","39.9","13.9","24.7","9.0","11.5","0.5",".","0.5","",".",".",".",".","",".",".",".","."
"Undergraduates","","1057","3.122","32.8","17.2","25.2","9.3","13.3","1.8","0.1","0.3","",".",".",".",".","",".",".",".","."
"Special","","20","3.010","15.0","25.0","40.0","10.0","5.0",".","5.0",".","",".",".",".",".","",".",".",".","."
"Graduate","","224","3.813","60.7","4.9","5.4",".","0.4",".",".","28.6","",".",".",".",".","",".",".",".","."
"Prof Yr 1","","80","2.944","17.5","7.5","40.0","16.3","18.8",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".",".",".","",".",".",".","33.3","",".",".",".","."
"Professionals","","83","2.952","19.3","7.2","38.6","15.7","18.1",".",".",".","",".",".",".","1.2","",".",".",".","."
"","Dept. Total","1384","3.168","36.3","14.7","23.0","8.2","11.4","1.4","0.1","4.8","",".",".",".","0.1","",".",".",".","."
