"Intro to Clinical Trials I","542
001","","18","3.417","33.3","22.2","5.6",".","",".",".","","5.6","22.2",".","",".",".","",".","","11.1",".",".","."
"Advanced Bioinformatics","776
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","","26","3.510","34.6","23.1","3.8",".","",".","",".","3.8","26.9","",".",".","",".","",".","7.7",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","12","3.286","33.3","16.7",".",".","",".","",".","8.3","25.0","",".",".","",".","",".","16.7",".",".","."
"Graduate","","","11","3.659","36.4","27.3","9.1",".","",".","",".",".","27.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","","1","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","","2","3.500",".","50.0",".",".","",".","",".",".","50.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","26","3.510","34.6","23.1","3.8",".","",".","",".","3.8","26.9","",".",".","",".","",".","7.7",".",".","."
