"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","151
001","14","3.692","64.3","14.3","7.1",".","7.1",".",".",".",".",".",".",".",".",".","7.1","."
"","151
002","16","3.375","62.5","6.3","12.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","30","3.517","63.3","10.0","10.0","3.3","6.7",".","3.3",".",".",".",".",".",".",".","3.3","."
"","155
001","18","3.444","72.2","11.1",".",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","155
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","16","3.031","6.3","6.3","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","17","3.088",".","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","11","3.273",".","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","16","3.375","25.0","43.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.556","55.6","27.8",".","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","155
008","20","3.400","30.0","50.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","134","3.410","38.8","27.6","23.1","5.2","3.0","0.7","1.5",".",".",".",".",".",".",".",".","."
"","275
001","18","3.611","27.8","66.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","19","3.263",".","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","18","3.694","44.4","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","99","3.601","36.4","47.5","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intermed Bus Chinese-Prof II","356
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","18","2.917","5.6","22.2","50.0","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"","397
002","16","3.406","12.5","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
397","16","3.625","43.8","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","18","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","21","3.476","19.0","61.9","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
006","19","3.289","21.1","36.8","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.548","38.1","38.1","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","21","3.452","38.1","42.9","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","397
009","14","3.357","42.9","28.6","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","397
010","21","3.357","19.0","61.9","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","397
011","16","3.406","12.5","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","21","3.048","9.5","14.3","57.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","013
397","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","14","3.357","21.4","42.9","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","397
016","16","3.594","50.0","18.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","290","3.412","29.0","38.6","26.2","3.8","1.0",".","1.4",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 122 of 405",""
