"EAST ASIAN AREA STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","",""
"300","001","","26","3.481","42.3","23.1","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"300","002","","9","3.438","33.3","22.2","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"300","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","Course Total","","36","3.486","41.7","22.2","25.0","5.6","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"301","001","","32","3.806","78.1","6.3","9.4",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"301","002","","46","3.413","54.3","10.9","23.9","2.2","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","Course Total","","78","3.571","64.1","9.0","17.9","1.3","3.8",".","2.6","1.3",".",".",".",".",".",".",".","."
"682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
