"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","399","3.739","73.2","14.8","7.0","1.8","1.3","1.0","0.8","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","15","3.433","53.3","20.0","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","150
001","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","15","3.600","46.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","17","3.882","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","155","3.865","80.6","12.3","6.5","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","22","3.250","36.4","18.2","31.8","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","161
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","20","3.900","95.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","19","3.722","47.4","42.1","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","36","3.829","66.7","27.8","2.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","266
001","8","3.563","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Traditions in Dramatic Lit","324
001","46","3.261","17.4","47.8","13.0","17.4","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","16","3.267","31.3","31.3","12.5","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","17","2.990","41.2","17.6","17.6",".","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","3.719","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","362
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
006","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","37","3.959","97.3",".",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","8","3.865","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
