"COMPARATIVE LITERATURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","",""
"Intro Cross-Cultrl Lit Form","203
001","185","3.522","27.0","60.5","7.6","2.7","1.1","0.5","0.5",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-In&Beyond US","205
001","186","3.153","12.4","22.6","51.6","8.6","2.7",".","0.5","1.6",".",".",".",".",".",".",".","."
"Lyric","351
001","24","3.478","33.3","33.3","20.8","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"Lit & Related Disciplines","375
001","15","3.786","46.7","40.0",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Poetics and Literary Theory","475
002","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","3.932","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Translation","822
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Roots & Ramifications","963
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Work","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP LIT
260","Dept. Total","465","3.430","29.0","36.8","24.9","4.9","1.5","0.2","0.4","1.9",".",".",".","0.2",".",".",".","."
