"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"Intro to Lit of Native America","172
001","","174","3.247","25.3","28.7","28.7","10.3","1.1","1.1","2.3","2.3",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","","44","2.900","13.6","18.2","22.7","18.2","13.6","4.5",".","9.1",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","","18","3.500","44.4","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".","11.1","."
"Native Amer Envir Iss & Media","444
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
006","","20","3.895","80.0","10.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","450
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
013","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","450
028","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","450
030","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","54","3.814","77.8","9.3","3.7",".","1.9","1.9",".","3.7",".",".",".",".","1.9",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Amer Indian Hist, 1800-present","942
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"AMER IND
140","Dept. Total","","304","3.344","36.8","22.0","21.1","8.9","3.6","1.6","1.3","3.3",".",".",".",".","0.7",".","0.7","."
