"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Relaxation Tech & Exercise","Course Total","","75","3.699","69.3","17.3","5.3","1.3","1.3",".","2.7","2.7",".",".",".",".",".",".",".","."
"","138
002","","19","3.714","42.1","21.1","10.5",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","138
003","","13","3.750","61.5",".","7.7","7.7",".",".",".","23.1",".",".",".",".",".",".",".","."
"","138
004","","14","3.750","42.9","21.4","7.1",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Golf I","Course Total","","46","3.735","47.8","15.2","8.7","2.2",".",".",".","26.1",".",".",".",".",".",".",".","."
"","140
002","","19","3.676","47.4","31.6","5.3","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"","140
003","","14","3.625","42.9","21.4","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","140
004","","23","3.556","39.1","17.4","13.0","8.7",".",".",".","21.7",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","56","3.617","42.9","23.2","12.5","5.4",".",".",".","16.1",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","16","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","18","3.444","50.0","22.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","155
001","","19","3.111","21.1","15.8","36.8","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","155
002","","14","3.731","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","33","3.371","33.3","24.2","24.2","3.0","9.1",".",".","6.1",".",".",".",".",".",".",".","."
"","157
001","","28","3.667","39.3","35.7","10.7",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","157
002","","26","3.477","15.4","53.8","11.5","3.8",".",".",".","15.4",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","54","3.576","27.8","44.4","11.1","1.9",".",".",".","14.8",".",".",".",".",".",".",".","."
"","162
001","","15","3.625","26.7","13.3","13.3",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"","002
162","","16","3.500","6.3","25.0","6.3",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"","162
003","","16","3.350","6.3","37.5","12.5","6.3",".",".",".","37.5",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","47","3.479","12.8","25.5","10.6","2.1",".",".",".","48.9",".",".",".",".",".",".",".","."
"","163
001","","17","3.857","58.8","23.5",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","163
002","","20","3.882","65.0","20.0",".",".",".",".",".","15.0",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","37","3.871","62.2","21.6",".",".",".",".",".","16.2",".",".",".",".",".",".",".","."
"Basketball I","170
001","","28","3.607","50.0","32.1","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","32","3.448","34.4","37.5","3.1","12.5",".","3.1",".","9.4",".",".",".",".",".",".",".","."
"","175
002","","31","3.768","58.1","22.6","9.7",".",".",".",".","9.7",".",".",".",".",".",".",".","."
"","175
003","","30","3.865","63.3","23.3",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","93","3.687","51.6","28.0","4.3","4.3",".","1.1",".","10.8",".",".",".",".",".",".",".","."
"Team Handball I","177
001","","18","3.676","66.7","5.6","16.7",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","201
001","","22","3.929","81.8","13.6",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","201
002","","12","3.950","75.0","8.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","34","3.935","79.4","11.8",".",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"","211
001","","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","211
002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","33","3.984","93.9","3.0",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","32","3.220","9.4","28.1","31.3","6.3","3.1",".",".","18.8",".",".",".",".","3.1",".",".","."
"Fencing II","257
001","","14","3.500","28.6","35.7","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","262
001","","20","3.750","45.0","20.0",".","5.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","262
002","","17","3.300","11.8",".","11.8","5.9",".",".",".","70.6",".",".",".",".",".",".",".","."
"","262
003","","20","3.462","25.0","25.0","5.0","5.0","5.0",".",".","35.0",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","57","3.563","28.1","15.8","5.3","5.3","1.8",".",".","43.9",".",".",".",".",".",".",".","."
"Basketball II","270
001","","29","3.518","34.5","31.0","31.0",".",".",".",".","3.4",".",".",".",".",".",".",".","."
