"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","45","3.390","51.1","8.9","17.8","4.4","4.4",".","4.4","6.7",".",".",".",".",".",".","2.2","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"326
Plant Nutrition Management","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"334
Greenhse Prod-Ornamntl Plnt","001","","41","2.738","4.9","12.2","53.7","9.8","7.3","4.9","4.9",".",".",".",".",".",".",".","2.4","."
"335
Greenhse-Ornamntl Plant Lab","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","6","2.500","50.0",".",".",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"375
Special Topics","003","","22","3.596","40.9","31.8","22.7",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"410
Undergraduate Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Molecular Biology Techniques","001","","22","3.250","36.4","9.1","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","4.5","4.5"
"501
Principles-Plant Breeding","001","","16","3.375","43.8","12.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.921","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"799
Pract-Horticulture Teaching","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","31","",".",".",".",".",".",".",".","77.4",".",".",".","19.4",".",".","3.2","."
