"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"English Grammar in Use","325","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329","001","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","332","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","26","3.712","69.2","26.9",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","12","3.417","58.3","16.7","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","37","3.446","8.1","75.7","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"","337","003","","11","",".",".",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".","."
"","337","004","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"","337","005","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"TESOL Workshops","","Course Total","","57","",".",".",".",".",".",".",".",".",".","93.0","5.3",".",".","1.8",".","."
"Chicana/o & Latina/o Lit","357","001","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","359","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Figures of Medieval Eng Lit","361","001","","21","3.286","19.0","38.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","22","3.295","27.3","31.8","18.2","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","32","3.703","71.9","15.6","9.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"","425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","425","002","","29","3.655","55.2","20.7","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-17c Eng Lit","","Course Total","","34","3.691","58.8","20.6","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"British Drama 1660-1750","437","001","","33","3.500","42.4","30.3","21.2",".",".",".","3.0","3.0",".",".",".",".",".",".",".","."
"English Lit, 1660-1745","444","001","","19","3.194","10.5","26.3","47.4","10.5",".",".",".",".",".",".",".",".",".",".","5.3","."
"English Lit, 1745-1798","445","001","","27","2.926","11.1","18.5","40.7","18.5","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","460","001","","34","3.353","23.5","41.2","32.4",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Studies in Victorian Lit","466","001","","30","3.533","50.0","13.3","33.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","468","001","","25","3.479","36.0","24.0","32.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","468","002","","20","3.450","50.0","25.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","","Course Total","","45","3.466","42.2","24.4","24.4","4.4",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"James Joyce","503","001","","28","3.411","21.4","53.6","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","504","001","","35","3.471","31.4","31.4","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","009","","35","3.257","20.0","31.4","34.3","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"Recent Fiction in English","511","001","","12","3.773","50.0","41.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","550","001","","19","3.447","42.1","21.1","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","550","003","","8","3.250","62.5",".","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 204 of 405",""
