"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.000",".",".","100.0","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","2","3.600","50.0",".","50.0","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","12","3.452","50.0","8.3","33.3","",".","8.3","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","15","3.459","46.7","6.7","40.0","",".","6.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","82","3.839","63.4","2.4","7.3","",".",".","",".","",".","18.3","",".",".","",".","8.5","",".",".",".","."
"Prof Yr 1","","9","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","9","4.000","55.6",".",".","",".",".","",".","",".","44.4","",".",".","",".",".","",".",".",".","."
"Professionals","","18","4.000","77.8",".",".","",".",".","",".","",".","22.2","",".",".","",".",".","",".",".",".","."
