"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"702","002","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo&Disease Prevention","Course Total","","50","3.940","92.0","6.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","46","3.800","69.6","17.4","10.9",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","020","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs I","Course Total","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"716
Preventn&Mgmt-Hlth Probs II","040","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"717","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"717","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs III","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","10","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"721
Adv Med-Surgical Nursing","001","","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"747","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"747","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"747","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","13","4.000","30.8",".",".",".",".",".",".","61.5",".",".",".",".","7.7",".",".","."
"754
Adv Prac Nursng:Mentl Disordrs","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Instr Process-Nursing Educ","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"798","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 386 of 405",""
